ID	age	sex	n_babies	site	year	pop_size	weight
9	0	f	0	1	1980	146	3.010761223526147
57	0	m	0	3	1980	146	1.432001568980563
84	0	m	0	2	1980	146	4.24074338610205
101	0	f	2	3	1980	146	4.718386592231325
130	0	f	2	2	1980	146	3.6292821658461487
167	0	m	2	2	1980	146	3.2796966233586433
169	0	f	0	2	1980	146	3.788827350775099
221	0	f	0	2	1980	146	3.401554094724543
222	0	m	2	2	1980	146	0.7505701764560786
255	0	f	0	1	1980	146	3.319970111626523
294	0	m	1	1	1980	146	2.6511129114009844
297	0	f	0	1	1980	146	3.422449300930939
302	0	f	1	1	1980	146	NA
448	0	m	2	3	1980	146	1.9852875401904606
505	0	f	1	3	1980	146	4.286557109267429
665	0	m	2	3	1980	146	NA
673	0	m	0	1	1980	146	2.432508839923503
707	0	m	1	1	1980	146	3.2429206555213943
721	0	f	2	3	1980	146	4.6272614149079345
749	0	f	2	2	1980	146	3.965775088754915
758	0	m	1	2	1980	146	2.5212714018836166
854	0	m	2	2	1980	146	1.7877979874316732
859	0	f	2	1	1980	146	4.299212928339319
9	1	f	0	1	1981	147	NA
46	0	f	1	3	1981	147	5.213641209446096
57	1	m	1	3	1981	147	2.5394512390850905
84	1	m	1	2	1981	147	2.7947793259369416
130	1	f	1	2	1981	147	4.50775009315385
167	1	m	1	2	1981	147	2.310788209688835
169	1	f	0	2	1981	147	3.3577369226648397
175	0	f	2	2	1981	147	3.61735814531623
197	0	f	2	3	1981	147	4.384199294011742
221	1	f	1	2	1981	147	3.3105536901301633
222	1	m	2	2	1981	147	1.8867306782292055
255	1	f	0	1	1981	147	NA
294	1	m	0	1	1981	147	3.4040504216800294
302	1	f	1	1	1981	147	4.323541509557869
318	0	f	1	2	1981	147	3.916420098848866
324	0	f	0	3	1981	147	3.461250170414658
341	0	f	0	1	1981	147	3.00102005561579
381	0	m	1	1	1981	147	2.839845313886039
411	0	f	2	2	1981	147	4.127969451960546
420	0	m	2	2	1981	147	1.9836077942236698
